experiment,step,epoch,token_avg_loss,loss,eval_loss,grad_norm,learning_rate,total_tokens,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
sft_esm3_mlp_long_qwen3_8b_it_0302_175459,320,0.46613255644573925,1.8563,7.0357,,0.9608721137046814,0.00011936073761778461,134036,,,,,,,,
sft_esm3_mlp_long_qwen3_8b_it_0302_175459,330,0.4806991988346686,2.2021,7.4761,,0.8341725468635559,0.00011930114079071237,148582,,,,,,,,
sft_esm3_mlp_long_qwen3_8b_it_0302_175459,340,0.49526584122359796,2.0275,7.0962,,0.9651427268981934,0.00011923890457221294,143035,,,,,,,,
sft_esm3_mlp_long_qwen3_8b_it_0302_175459,350,0.5098324836125273,2.0953,6.987,,1.362591028213501,0.00011917403173231302,141302,,,,,,,,
sft_esm3_mlp_long_qwen3_8b_it_0302_175459,360,0.5243991260014567,2.1039,7.58,,0.8696445226669312,0.0001191065251583907,147913,,,,,,,,
sft_esm3_mlp_long_qwen3_8b_it_0302_175459,370,0.538965768390386,2.0149,7.0585,,1.1408679485321045,0.0001190363878550471,141282,,,,,,,,
sft_esm3_mlp_long_qwen3_8b_it_0302_175459,380,0.5535324107793154,2.1131,7.3451,,0.8905695080757141,0.00011896362294397253,143517,,,,,,,,
sft_esm3_mlp_long_qwen3_8b_it_0302_175459,390,0.5680990531682447,2.0381,7.4719,,0.8109285831451416,0.0001188882336638076,146704,,,,,,,,
sft_esm3_mlp_long_qwen3_8b_it_0302_175459,400,0.5826656955571741,1.9878,7.326,,1.0243055820465088,0.00011881022336999906,137039,,,,,,,,
sft_esm3_mlp_long_qwen3_8b_it_0302_175459,410,0.5972323379461034,2.1147,7.6699,,1.1301409006118774,0.00011872959553465044,147990,,,,,,,,
sft_esm3_mlp_long_qwen3_8b_it_0302_175459,420,0.6117989803350328,1.9531,6.9647,,0.8988171219825745,0.00011864635374636751,138892,,,,,,,,
sft_esm3_mlp_long_qwen3_8b_it_0302_175459,430,0.6263656227239621,1.9298,6.9854,,1.2378809452056885,0.00011856050171009864,135790,,,,,,,,
sft_esm3_mlp_long_qwen3_8b_it_0302_175459,440,0.6409322651128915,2.0622,7.4384,,0.911776065826416,0.00011847204324696978,146320,,,,,,,,
sft_esm3_mlp_long_qwen3_8b_it_0302_175459,450,0.6554989075018208,1.9535,7.0377,,1.064475417137146,0.00011838098229411445,139936,,,,,,,,
sft_esm3_mlp_long_qwen3_8b_it_0302_175459,460,0.6700655498907502,2.076,7.3168,,1.1482914686203003,0.00011828732290449846,142902,,,,,,,,
sft_esm3_mlp_long_qwen3_8b_it_0302_175459,470,0.6846321922796795,2.0947,7.2643,,0.9012219905853271,0.00011819106924673963,148740,,,,,,,,
sft_esm3_mlp_long_qwen3_8b_it_0302_175459,480,0.6991988346686089,1.8126,6.8602,,0.9745467901229858,0.00011809222560492213,137568,,,,,,,,
sft_esm3_mlp_long_qwen3_8b_it_0302_175459,490,0.7137654770575382,1.9908,7.42,,0.9780014157295227,0.00011799079637840589,139926,,,,,,,,
sft_esm3_mlp_long_qwen3_8b_it_0302_175459,500,0.7283321194464676,2.0231,7.2051,,0.994036078453064,0.00011788678608163066,144598,,,,,,,,
sft_esm3_mlp_long_qwen3_8b_it_0302_175459,500,0.7283321194464676,2.378,,2.043976306915283,,,579006,308.8706,76.229,0.596,,,,,
sft_esm3_mlp_long_qwen3_8b_it_0303_004216,1,1.0,4.2542,,,,,8303,,,,80.6395,2.381,0.012,531381138489344.0,8.599300384521484
sft_lora_esm3_qwen3_8b_it_0225_203237,10,0.014566642388929352,4.3394,17.2888,,4.883839130401611,1.8e-05,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,20,0.029133284777858703,3.8089,15.1885,,5.577815532684326,3.8e-05,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,30,0.043699927166788055,3.4237,13.046,,2.6636650562286377,5.8e-05,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,40,0.05826656955571741,2.9782,11.5244,,11.983203887939453,7.800000000000001e-05,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,50,0.07283321194464676,2.5895,9.7727,,2.809257745742798,9.8e-05,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,60,0.08739985433357611,2.6064,9.6079,,1.3703343868255615,0.000118,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,70,0.10196649672250546,2.4279,8.707,,2.4102935791015625,0.000138,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,80,0.11653313911143481,2.1002,7.9066,,1.7697142362594604,0.00015800000000000002,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,90,0.13109978150036417,2.1849,8.2337,,1.0626862049102783,0.00017800000000000002,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,100,0.14566642388929352,2.0481,7.5799,,1.1263121366500854,0.00019800000000000002,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,110,0.16023306627822287,2.1073,7.8516,,1.356477975845337,0.00019998960577634193,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,120,0.17479970866715222,2.2494,7.454,,0.9885070323944092,0.00019995367790078894,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,130,0.18936635105608157,1.8812,7.138,,1.1119827032089233,0.00019989209726815836,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,140,0.20393299344501092,2.2652,7.9398,,0.8776888251304626,0.00019980487968290127,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,150,0.21849963583394028,2.0456,7.2499,,0.8276727199554443,0.0001996920475291017,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,160,0.23306627822286963,1.9058,7.3071,,0.8486970663070679,0.00019955362976473192,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,170,0.24763292061179898,1.9584,7.6279,,0.8255951404571533,0.00019938966191422047,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,180,0.26219956300072833,1.9131,7.0361,,0.7528141140937805,0.0001992001860593348,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,190,0.2767662053896577,2.0455,7.5349,,0.7407864332199097,0.00019898525082838144,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,200,0.29133284777858703,2.1516,7.3868,,1.0327825546264648,0.00019874491138372537,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,210,0.3058994901675164,1.8782,6.8823,,0.9794560670852661,0.000198479229407633,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,220,0.32046613255644574,2.1119,7.5987,,0.8242937922477722,0.00019818827308644164,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,230,0.3350327749453751,1.9281,7.2383,,0.8428199291229248,0.00019787211709305956,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,240,0.34959941733430444,2.08,7.3107,,0.8023257851600647,0.0001975308425678017,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,250,0.3641660597232338,1.9627,7.6195,,0.7568378448486328,0.00019716453709756504,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,250,0.3641660597232338,2.4222,,2.0732221603393555,,,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,260,0.37873270211216314,2.0488,7.1422,,0.8389149308204651,0.0001967732946933499,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,270,0.3932993445010925,2.0976,7.4403,,0.8006082773208618,0.0001963572157661323,,,,,,,,,
