experiment,approach,step,num_samples,bleu_overall,rouge_l_overall,bleu_function,bleu_catalytic,bleu_domain,bleu_general,rouge_l_function,rouge_l_catalytic,rouge_l_domain,rouge_l_general
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,3000,40,0.17874995900267648,0.416860015399822,0.18113694583054027,0.20953204880775514,0.1935371595268333,0.13079368184557716,0.35424242584961774,0.4516042243177013,0.39752386495929315,0.46406954647267573
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,3250,40,0.20056349497840048,0.4352607727468791,0.1745801119723092,0.20505370338101714,0.1952075970758691,0.22741256748440666,0.38486229060023547,0.46058092736509615,0.3961860304447266,0.499413842577458
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,3500,40,0.19666047263705805,0.4339246959933688,0.16826252393572627,0.23984449298255686,0.1891780892282339,0.18935678440171536,0.34235088143167536,0.4792001601086094,0.39176766066928337,0.5223800817639072
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,3750,40,0.27375385395448715,0.43957066275553663,0.23821095930481917,0.4299329809737478,0.22096890352642612,0.20590257201295575,0.3364544129262789,0.5423367783618297,0.4541181594812492,0.4253733002527887
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,4000,40,0.2666732467070535,0.45326445079609295,0.2965419825373051,0.3114396667874027,0.19608445297375812,0.26262688452974803,0.44366973401724374,0.5268238542023088,0.41314340867904376,0.4294208062857757
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,4250,40,0.2743922862832341,0.48696578910051513,0.417215720120676,0.23540457080526953,0.17834573767310305,0.2666031165338875,0.5365399789145335,0.4952299363494578,0.4805515633217202,0.4355416778163491
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,4500,40,0.21300173783915652,0.413727631382356,0.20834831589577477,0.3035929951337648,0.1115060716952968,0.2285595686317897,0.3418973432764485,0.5151002381714076,0.3871180401914121,0.41079490389015544
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,4750,40,0.24098871070755384,0.4577846554727912,0.3328299639814824,0.23090042201018424,0.1489809577347556,0.25124349910379296,0.47263967763289705,0.4697386419291161,0.4553742889078899,0.4333860134212614
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,5000,40,0.2291481804079154,0.4330566812903349,0.3284998157737257,0.21662834854078167,0.14215870808046888,0.2293058492366852,0.449530245443043,0.46831131087811045,0.411306417159202,0.4030787516809836
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,5250,40,0.259338340821103,0.4597710004846591,0.40505849386914505,0.10444192966736435,0.2603053181677498,0.26754762158015255,0.5078217331958952,0.3992292371872847,0.48881735347480887,0.44321567808064755
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,5500,40,0.2577085059073566,0.45421401362552694,0.4213243615943304,0.19929449299346266,0.14259120787113194,0.2676239611705014,0.5364324833270043,0.4321564952541389,0.420167955547173,0.42809912037379166
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,5750,40,0.2723755592542444,0.46209430123044104,0.4141045042562637,0.21049656364299377,0.20955577772107165,0.2553453913966485,0.5398984156735055,0.48769709413060564,0.42414589031288685,0.396635804804767
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,6000,40,0.26786800455583043,0.4543939603777865,0.3930109648253748,0.25349924290173664,0.15649310592646465,0.2684687045697454,0.5012702427805251,0.4697137920036602,0.40941452327700006,0.43717728344996065
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,6250,40,0.22389133066848538,0.43812079769401163,0.3245868555112027,0.23299111647169127,0.07342360536508369,0.2645637453259639,0.42717757075285406,0.5052289497549401,0.39287665079356116,0.42720001947469066
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,6500,40,0.2472375679177361,0.4614069372598008,0.33151059927301574,0.18217693586229639,0.21127656189351587,0.26398617464211627,0.47149165230368856,0.449605612219594,0.4885522114909192,0.435978273025002
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,6750,40,0.29733043038267715,0.4879224531709053,0.42464531330994815,0.3680567934068714,0.13798136776084963,0.25863824705303906,0.5593905059134335,0.5673897459698691,0.4093382459543329,0.4155713148459861
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,7000,40,0.30695361180817293,0.48310541876779406,0.40437583144566663,0.39241661757613283,0.1655250519504074,0.2654969462604847,0.5230908167578593,0.5409442025831435,0.43281396544802925,0.4355726902821441
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,7250,40,0.2580604081585518,0.48053676655891603,0.4256494862742392,0.24920408468406302,0.05394949334750733,0.30343856832839755,0.5679653603191477,0.4993148653842995,0.3716664921113869,0.48320034842083015
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,7500,40,0.25113630539083565,0.4658537283168118,0.3897107968195704,0.2094438914252681,0.09816091211187498,0.3072296212066291,0.5112424297395989,0.4366343045566139,0.40913773773057827,0.506400441240456
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,7750,40,0.26226621212879225,0.4653773328240062,0.33082778564018056,0.22950201505690626,0.21714287694746845,0.2715921708706137,0.46780837519612994,0.4719258124103738,0.47772656360820187,0.4440485800813193
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,8000,40,0.2462869654190055,0.4692899654771939,0.32947458594799484,0.2563925244430695,0.12381908275156213,0.2754616685333956,0.47546863158711206,0.5064115052621962,0.43297487577406446,0.46230484928540294
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,8250,40,0.2585360497861692,0.4650247124192452,0.3270796593227205,0.31882578673002077,0.12444636244726506,0.2637923906446703,0.45189927731630036,0.5601277021789338,0.4334956675681612,0.41457620261358574
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,8500,40,0.2590712233925666,0.45974213976162337,0.32646378898189565,0.22912836485396718,0.21273686119354046,0.26795587854086345,0.44874375674998773,0.48742584132815814,0.4580730120455305,0.44472594892281697
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,8750,40,0.3123882787075979,0.5058080467852746,0.42043003405664614,0.26515706417670526,0.19944582598235183,0.3645201906146879,0.5487473347644048,0.500822889227088,0.4354346946208028,0.5382272685288026
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,9000,40,0.2965159047846285,0.48528476647324403,0.3343062896916271,0.35806860748350783,0.22192811795412534,0.2717606040092536,0.46038071896668803,0.5682923478242847,0.4680737791724006,0.444392219929603
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,9250,40,0.31470982521071206,0.5145342658161157,0.40400021097044114,0.4178986293199074,0.1339089047658023,0.3030315557866973,0.524487207170248,0.6067035081020044,0.4247928025113623,0.5021535454808483
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,9500,40,0.262320627874645,0.46577758359764865,0.20944839970367313,0.3325214340066517,0.20778852714370077,0.29952415064455423,0.3560051337791615,0.5676307248238526,0.4326128577488523,0.5068616180387284
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,esm3_mlp,9750,40,0.25536475140139897,0.4813674071985893,0.3275679952514622,0.3134549999223156,0.10284486950655695,0.2775911409252615,0.457901575803787,0.5622712241554624,0.42861780882878503,0.47667902000632284
sft_esm3_mlp_thinking_qwen3_8b_it_0309_115011,esm3_mlp_thinking,250,40,0.0030706101047720336,0.06528989922263213,0.0027323148870990834,0.0055115126647260855,0.0031509037651121325,0.0008877091021508316,0.05617153166865265,0.10377945589584717,0.076237301079316,0.024971308246712696
sft_esm3_mlp_thinking_qwen3_8b_it_0309_115011,esm3_mlp_thinking,500,40,0.010197285435058885,0.07342767907766491,0.0025834185245991854,0.003678970283195398,0.03286958236462388,0.001657170567817073,0.05050374957251348,0.07891608974477196,0.11570870024784581,0.048582176745528415
sft_text_combined_qwen3_8b_it_0307_190324,text,250,3,0.0,0.014814814814814815,,0.0,,,,0.014814814814814815,,
sft_text_combined_qwen3_8b_it_0307_190324,text,500,3,0.0,0.014814814814814815,,0.0,,,,0.014814814814814815,,
sft_text_combined_qwen3_8b_it_0307_190324,text,750,3,0.0,0.014814814814814815,,0.0,,,,0.014814814814814815,,
sft_text_combined_qwen3_8b_it_0307_190324,text,1000,3,0.0,0.014814814814814815,,0.0,,,,0.014814814814814815,,
sft_text_combined_qwen3_8b_it_0307_190324,text,1250,3,0.0,0.014814814814814815,,0.0,,,,0.014814814814814815,,
sft_text_combined_qwen3_8b_it_0307_190324,text,1500,3,0.0,0.014814814814814815,,0.0,,,,0.014814814814814815,,
sft_text_combined_qwen3_8b_it_0307_190324,text,1750,3,0.0,0.014814814814814815,,0.0,,,,0.014814814814814815,,
sft_text_combined_qwen3_8b_it_0307_190324,text,2000,3,0.0,0.014814814814814815,,0.0,,,,0.014814814814814815,,
sft_text_combined_qwen3_8b_it_0307_190324,text,2250,3,0.0,0.014814814814814815,,0.0,,,,0.014814814814814815,,
sft_text_combined_qwen3_8b_it_0307_190324,text,2500,3,0.0,0.014814814814814815,,0.0,,,,0.014814814814814815,,
sft_text_combined_qwen3_8b_it_0307_190324,text,2750,3,0.0,0.014814814814814815,,0.0,,,,0.014814814814814815,,
sft_text_combined_qwen3_8b_it_0307_190324,text,3000,3,0.0,0.014814814814814815,,0.0,,,,0.014814814814814815,,
sft_text_combined_qwen3_8b_it_0307_190324,text,3250,3,0.0,0.014814814814814815,,0.0,,,,0.014814814814814815,,
sft_text_combined_qwen3_8b_it_0307_190324,text,3500,3,0.0,0.014814814814814815,,0.0,,,,0.014814814814814815,,
sft_text_combined_qwen3_8b_it_0307_190324,text,3750,3,0.0,0.014814814814814815,,0.0,,,,0.014814814814814815,,
sft_text_combined_qwen3_8b_it_0307_190324,text,4000,3,0.0,0.014814814814814815,,0.0,,,,0.014814814814814815,,
sft_text_combined_qwen3_8b_it_0307_190324,text,4250,3,0.0,0.014814814814814815,,0.0,,,,0.014814814814814815,,
sft_text_combined_qwen3_8b_it_0307_190324,text,4500,3,0.0,0.014814814814814815,,0.0,,,,0.014814814814814815,,
sft_text_combined_qwen3_8b_it_0307_190324,text,4750,3,0.0,0.014814814814814815,,0.0,,,,0.014814814814814815,,
sft_text_combined_qwen3_8b_it_0307_190324,text,5000,3,0.0,0.014814814814814815,,0.0,,,,0.014814814814814815,,
sft_text_combined_qwen3_8b_it_0307_190324,text,5250,40,0.20054676987502668,0.418121013112299,0.20469115224798506,0.19887007798563328,0.20576112345901137,0.19286472580747718,0.33955092243945406,0.4551193583215258,0.4825848444790187,0.39522892720919756
sft_text_combined_qwen3_8b_it_0307_190324,text,5500,40,0.2099289575889891,0.4204293335643953,0.23450482489663765,0.21530657502460532,0.1328354688409472,0.25706896159376647,0.37755030194230754,0.4449840396002154,0.41779993018211015,0.4413830625329481
sft_text_combined_qwen3_8b_it_0307_190324,text,5750,40,0.22157535328230246,0.423522597990432,0.3333362574019293,0.16459011000361337,0.11113142234052258,0.27724362338314495,0.44587560364302936,0.4323648420180254,0.4026699065414482,0.41318003975922507
sft_text_combined_qwen3_8b_it_0307_190324,text,6000,40,0.22655422774296413,0.41360010826511706,0.21320042297929662,0.331565061115006,0.09600695245352121,0.2654444744240329,0.3487287819462427,0.5062471408686255,0.38470984245503964,0.41471466779056093
sft_text_combined_qwen3_8b_it_0307_190324,text,6250,40,0.27562353542398,0.46643191866733247,0.37018818499591777,0.322053444443933,0.14046684331009962,0.2697856689459696,0.4830484250560165,0.5272422157865451,0.43097446936420436,0.4244625644625645
sft_text_combined_qwen3_8b_it_0307_190324,text,6500,40,0.23961981622855855,0.43094256530241626,0.22673497424503947,0.2716313260435687,0.20680113716712784,0.25331182745849834,0.34337065211657897,0.4966831376849902,0.461493740585132,0.4222227308229639
