experiment,_step,mean_reward,max_reward,min_reward,reward_std,pg_loss,kl_penalty,reward/format_bonus,reward/plddt,reward/quality_alignment,reward/numerical_accuracy,reward/category_match,reward/predicted_plddt,reward/ptm,reward/correct_index,reward/predicted_index,reward/focal_weight,diagnostics/grad_norm_lora,diagnostics/grad_norm_multimodal,diagnostics/completion_mean_length,diagnostics/frac_reward_zero_std,diagnostics/advantage_std,loss
grpo_proteinlm_mlp_sft_qwen3_8b_it_0311_091513,5,0.727812510728836,1.100000023841858,0.11000000014901161,0.4355925127863884,-0.03437335221096873,0,0.06843750000000001,,,,,,,1.9,2.053125,,0.8551994860172272,0.0,9.175,0.475,0.08413763660937548,-0.03437335221096873
grpo_proteinlm_mlp_sft_qwen3_8b_it_0311_091513,10,0.549687510728836,1.0000000216066838,0.030000000447034835,0.43141473196446894,0.03256682427600026,0,0.06843750000000001,,,,,,,2.775,2.384375,,0.7099333226680755,0.0,8.5,0.4,0.20102057792246342,0.03256682427600026
grpo_proteinlm_mlp_sft_qwen3_8b_it_0311_091513,15,0.6828125268220901,1.100000023841858,0.05000000074505806,0.4804050400853157,-0.0019400751334615052,0,0.07343750000000003,,,,,,,2.5,2.421875,,0.6858827471733093,0.0,8.0,0.375,0.20604925882071257,-0.0019400751334615052
grpo_proteinlm_mlp_sft_qwen3_8b_it_0311_091513,20,0.7046875178813934,1.100000023841858,0.010000000149011612,0.48337769508361816,0.004489363636821508,0,0.06718750000000002,,,,,,,1.8,2.065625,,0.7110560417175293,0.0,8.275,0.325,0.18343713451176882,0.004489363636821508
grpo_proteinlm_mlp_sft_qwen3_8b_it_0311_091513,25,0.6928125143051147,1.100000023841858,0.030000000447034835,0.465427166223526,-0.008460577670484781,0,0.08031250000000004,,,,,,,2.325,2.4,,0.8857294797897339,0.0,8.8,0.475,0.08215406313538551,-0.008460577670484781
grpo_proteinlm_mlp_sft_qwen3_8b_it_0311_091513,30,0.7542968671768904,1.100000023841858,0.012500000186264515,0.4193226620554924,-0.030390163243282586,0,0.07070312500000003,,,,,,,2.09375,2.26171875,,0.8662036806344986,0.0,8.875,0.375,0.17697335104458034,-0.030390163243282586
grpo_proteinlm_mlp_sft_qwen3_8b_it_0311_091513,35,0.5931250035762787,1.0000000216066838,0.13000000268220901,0.4059326507151127,0.011130652111023664,0,0.06812500000000002,,,,,,,2.475,2.6125,,0.8549425840377808,0.0,8.375,0.525,0.12930692918598652,0.011130652111023664
grpo_proteinlm_mlp_sft_qwen3_8b_it_0311_091513,40,0.6859375238418579,1.100000023841858,0.5,0.25402454659342766,-0.011080884607508779,0,0.06093750000000002,,,,,,,2.875,2.75,,0.46893545985221863,0.0,8.0,0.125,0.040738318115472794,-0.011080884607508779
grpo_proteinlm_mlp_sft_qwen3_8b_it_0311_091513,45,0.5246875017881394,1.0900000214576722,0.1,0.42612701617181303,-0.0026305797742679714,0,0.06531250000000002,,,,,,,2.6,2.125,,0.8445891976356507,0.0,11.575,0.35,0.1425739523023367,-0.0026305797742679714
grpo_proteinlm_mlp_sft_qwen3_8b_it_0311_091513,50,0.640000008046627,1.100000023841858,0.11000000014901161,0.4055672589689493,-0.00605986756272614,0,0.07125000000000001,,,,,,,2.25,2.675,,0.8316542148590088,0.0,8.15,0.4,0.15149705931544305,-0.00605986756272614
grpo_proteinlm_mlp_sft_qwen3_8b_it_0311_091513,55,0.6354166890184084,1.100000023841858,0.016666666915019352,0.45256104568640393,-0.005282886423325787,0,0.07291666666666669,,,,,,,2.375,1.8333333333333333,,0.770895779132843,0.0,9.208333333333334,0.375,0.09362513696153958,-0.005282886423325787
grpo_proteinlm_mlp_sft_qwen3_8b_it_0311_091513,60,0.6821875244379043,1.100000023841858,0.0,0.47091381549835204,-0.013817504001781344,0,0.07906250000000004,,,,,,,2.425,2.5125,,0.9178318500518798,0.0,8.075,0.2,0.1572421111166477,-0.013817504001781344
grpo_proteinlm_mlp_sft_qwen3_8b_it_0311_091513,65,0.5840625166893005,1.100000023841858,0.010000000149011612,0.47641404867172243,0.0028197014704346656,0,0.08093750000000002,,,,,,,2.425,2.48125,,0.8330117225646972,0.0,7.925,0.45,0.14305697418749333,0.0028197014704346656
grpo_proteinlm_mlp_sft_qwen3_8b_it_0311_091513,70,0.6687500044703484,1.100000023841858,0.15000000074505807,0.41431931406259537,-0.004685228457674384,0,0.07500000000000002,,,,,,,2.45,2.1,,0.8315402865409851,0.0,8.45,0.5,0.1681247491389513,-0.004685228457674384
grpo_proteinlm_mlp_sft_qwen3_8b_it_0311_091513,75,0.7009375214576721,1.100000023841858,0.04000000059604645,0.4692617982625961,-0.016796445264481007,0,0.07906250000000004,,,,,,,2.45,2.378125,,0.8477360248565674,0.0,8.8,0.325,0.1351927664130926,-0.016796445264481007
