experiment,approach,projector_type,parent,completed,mean_reward,max_reward,min_reward,reward_std,pg_loss,grad_norm_lora,grad_norm_mm,frac_zero_std,completion_mean_len,format_bonus,plddt,quality_alignment,numerical_accuracy,category_match,predicted_plddt
grpo_proteinlm_mlp_sft_qwen3_8b_it_0310_214259,esm3,mlp,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,True,0.6945216140629332,1.0864197763579864,0.08148148205177283,0.4275933909057467,-0.0064074782673327,0.386268879160469,0.0,0.37242798378438124,8.951646090534979,0.0690072016460905,,,,,
grpo_proteinlm_mlp_sft_qwen3_8b_it_0311_091513,esm3,mlp,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,True,0.6764429168292769,1.0848148382372327,0.09629629676540692,0.43090300962190936,-0.005371573152175794,0.4043776473513356,0.0,0.4225308645654608,9.254938271604937,0.07555555555555558,,,,,
grpo_structure_classify_qwen3_8b_it_0312_215435,esm3,mlp,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,True,0.5984832188912801,0.9833584765897316,0.19683896052796823,0.324802302090185,-0.3240642835899275,0.12295041814142343,0.0,0.17687074829931973,60.708843537414964,0.09514455782312971,79.72499319727889,,,,
grpo_structure_mlp_sft_frozen_mm_focal_qwen3_8b_it_0312_180156,esm3,mlp,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,False,,,,,,,,,,,,,,,
grpo_structure_mlp_sft_frozen_mm_focal_qwen3_8b_it_0312_182035,esm3,mlp,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,True,0.7247728348792005,0.9447370741338957,0.48135598739780006,0.16939114666410063,-0.18599445715461077,0.11920143909194843,0.0,0.017687074829931974,57.48299319727891,0.09544217687074877,79.72499319727889,0.35996598639456034,0.15713561296206469,0.17464285714285657,74.84827962868562
grpo_structure_mlp_sft_frozen_mm_qwen3_8b_it_0312_101631,esm3,mlp,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,True,0.7743107812965045,1.0144773725744174,0.5296793605518518,0.19366116539379657,-0.1856415112732278,0.07123960126393838,0.0,0.0625,58.03804347826087,0.09505774456521801,79.7024320652174,0.34679008152174007,0.1686297329585134,0.1638332201086948,85.05816590447026
grpo_structure_mlp_sft_qwen3_8b_it_0311_101732,esm3,mlp,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,False,,,,,,,,,,,,,,,
grpo_structure_mlp_sft_qwen3_8b_it_0311_114205,esm3,mlp,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,False,0.7795777350664139,0.9361679136753083,0.5226469017565251,0.1542032578261569,-0.008052657707594335,4.933437408594088e-10,0.9999999880790711,0.0,32.0,0.10000000000000006,80.1855,0.3543750000000001,0.16207773963935324,0.163125,91.39734375000003
grpo_structure_mlp_sft_qwen3_8b_it_0311_142756,esm3,mlp,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,False,,,,,,,,,,,,,,,
grpo_structure_mlp_sft_qwen3_8b_it_0311_170604,esm3,mlp,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,False,,,,,,,,,,,,,,,
grpo_structure_mlp_sft_qwen3_8b_it_0312_011859,esm3,mlp,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,True,0.5816719054608889,1.0653109179566735,0.10146107242379446,0.2806335475862674,-1.0206549172694592,5.779692044254471e-10,0.247282600597195,0.019021739130434784,85.97961956521739,0.06520889945652174,79.7024320652174,0.3260190217391308,0.0864018649314596,0.10404211956521747,67.9240445230632
grpo_structure_text_classify_qwen3_8b_it_0313_010828,text,mlp,sft_text_combined_qwen3_8b_it_0307_190324,True,0.7100486819551367,1.0443524051174198,0.3222100394980415,0.3117902120575309,-0.16126057874087407,0.2499999327828055,0.0,0.5815217391304348,57.02038043478261,0.09915930706521807,79.7024320652174,,,,
grpo_structure_text_sft_qwen3_8b_it_0311_142908,text,mlp,sft_text_combined_qwen3_8b_it_0307_190324,True,0.752529568484296,1.052830160635969,0.32213967980574293,0.22702350010892944,-0.024954706627835076,0.4931465309599172,0.0,0.0,36.774003623188406,0.06018172554347812,79.7180615942029,0.343195199275362,0.1705605910291746,0.17859205163043493,79.00481414099953
grpo_structure_text_sft_qwen3_8b_it_0312_032738,text,mlp,sft_text_combined_qwen3_8b_it_0307_190324,True,0.8317525658918463,1.0944281916903413,0.44704515116451227,0.21765776328823488,-0.09444898913194344,0.4759241702116054,0.0,0.0,55.42798913043478,0.09913383152173906,79.7180615942029,0.35080389492753594,0.1845831779167444,0.19723165760869577,79.05731584804671
