experiment,label,approach,total_steps,initial_loss,final_loss,min_loss,min_loss_step,best_eval_loss,best_eval_step,final_eval_loss,convergence_step_110pct,mean_grad_norm,max_grad_norm
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,MLP (ESM3),esm3,9750,3.2968,0.4378,0.3059,8280,0.360674113035202,9750,0.360674113035202,4820,0.6271629141232906,7.598205089569092
sft_text_combined_qwen3_8b_it_0307_190324,Text-only,text,9640,4.0729,1.6432,1.3415,8000,1.2072135210037231,8000,1.2656197547912598,5000,2.3652514479590647,7.169853210449219
